variable,n_miss,pct_miss
contin_com2_likert7,32,21.333333333333336
norm_com1_likert7,9,6
norm_com2_likert7,8,5.333333333333334
norm_com3_likert7,8,5.333333333333334
aff_com4_likert7,7,4.666666666666667
aff_com5_likert7,7,4.666666666666667
contin_com3_likert7,7,4.666666666666667
contin_com4_likert7,7,4.666666666666667
contin_com5_likert7,7,4.666666666666667
contin_com6_likert7,7,4.666666666666667
aff_com6_likert7,6,4
contin_com1_likert7,6,4
aff_com1_likert7,5,3.3333333333333335
aff_com2_likert7,5,3.3333333333333335
aff_com3_likert7,5,3.3333333333333335
norm_com4_likert7,2,1.3333333333333335
norm_com5_likert7,2,1.3333333333333335
